Percentage served,Time in ms
0,184.744
1,1612.659
2,2252.787
3,2472.475
4,2601.961
5,2676.732
6,2860.505
7,2969.500
8,3053.915
9,3131.241
10,3227.957
11,3279.283
12,3353.531
13,3398.347
14,3424.820
15,3448.766
16,3482.002
17,3503.194
18,3556.951
19,3576.384
20,3614.008
21,3628.286
22,3648.054
23,3682.018
24,3737.511
25,3780.932
26,3817.235
27,3865.418
28,3890.391
29,3975.769
30,4015.396
31,4040.856
32,4079.707
33,4120.580
34,4161.517
35,4203.972
36,4228.895
37,4259.396
38,4284.060
39,4295.852
40,4313.694
41,4371.413
42,4411.265
43,4443.710
44,4474.656
45,4511.695
46,4581.131
47,4600.184
48,4667.819
49,4691.784
50,4718.478
51,4733.600
52,4789.445
53,4816.722
54,4843.018
55,4869.420
56,4882.629
57,4911.124
58,4926.191
59,4987.476
60,5028.512
61,5069.450
62,5101.286
63,5121.481
64,5163.680
65,5172.696
66,5203.450
67,5249.437
68,5265.631
69,5295.950
70,5354.763
71,5409.979
72,5458.005
73,5498.661
74,5541.921
75,5587.277
76,5617.455
77,5694.098
78,5711.272
79,5732.819
80,5781.105
81,5819.351
82,5991.485
83,6058.878
84,6288.488
85,6385.347
86,6513.399
87,6644.458
88,6770.448
89,7037.140
90,7517.798
91,7753.393
92,7845.251
93,8480.317
94,8498.734
95,8573.487
96,8700.559
97,9244.016
98,9825.113
99,10227.743
100,10433.596
