starttime	seconds	ctime	dtime	ttime	wait
Thu Nov 21 21:57:05 2019	1574391425	0	185	185	180
Thu Nov 21 21:57:05 2019	1574391425	4	1024	1028	1017
Thu Nov 21 21:57:05 2019	1574391425	4	1283	1287	1283
Thu Nov 21 21:57:05 2019	1574391425	4	1432	1436	1432
Thu Nov 21 21:57:05 2019	1574391425	4	1513	1517	1513
Thu Nov 21 21:57:05 2019	1574391425	4	1609	1613	1609
Thu Nov 21 21:57:05 2019	1574391425	4	1694	1698	1694
Thu Nov 21 21:57:05 2019	1574391425	4	1924	1928	1924
Thu Nov 21 21:57:05 2019	1574391425	4	2207	2212	2207
Thu Nov 21 21:57:20 2019	1574391440	0	2246	2246	2246
Thu Nov 21 21:57:14 2019	1574391434	0	2252	2253	2252
Thu Nov 21 21:57:15 2019	1574391435	0	2299	2299	2299
Thu Nov 21 21:57:14 2019	1574391434	0	2406	2406	2406
Thu Nov 21 21:57:05 2019	1574391425	4	2406	2410	2406
Thu Nov 21 21:57:22 2019	1574391442	0	2411	2411	2411
Thu Nov 21 21:57:05 2019	1574391425	4	2469	2472	2469
Thu Nov 21 21:57:05 2019	1574391425	4	2470	2474	2469
Thu Nov 21 21:57:05 2019	1574391425	4	2484	2488	2484
Thu Nov 21 21:57:05 2019	1574391425	4	2485	2489	2485
Thu Nov 21 21:57:05 2019	1574391425	3	2583	2587	2583
Thu Nov 21 21:57:14 2019	1574391434	0	2602	2602	2602
Thu Nov 21 21:57:05 2019	1574391425	4	2613	2617	2608
Thu Nov 21 21:57:05 2019	1574391425	4	2614	2618	2614
Thu Nov 21 21:57:20 2019	1574391440	0	2637	2637	2637
Thu Nov 21 21:57:16 2019	1574391436	0	2637	2637	2637
Thu Nov 21 21:57:13 2019	1574391433	0	2677	2677	2676
Thu Nov 21 21:57:05 2019	1574391425	5	2712	2717	2712
Thu Nov 21 21:57:19 2019	1574391439	0	2785	2785	2785
Thu Nov 21 21:57:19 2019	1574391439	0	2836	2836	2835
Thu Nov 21 21:57:18 2019	1574391438	0	2849	2849	2849
Thu Nov 21 21:57:24 2019	1574391444	0	2860	2861	2860
Thu Nov 21 21:57:18 2019	1574391438	0	2861	2861	2860
Thu Nov 21 21:57:05 2019	1574391425	3	2891	2894	2891
Thu Nov 21 21:57:14 2019	1574391434	0	2899	2899	2899
Thu Nov 21 21:57:14 2019	1574391434	0	2954	2954	2954
Thu Nov 21 21:57:17 2019	1574391437	0	2969	2970	2969
Thu Nov 21 21:57:28 2019	1574391448	0	3000	3000	2999
Thu Nov 21 21:57:20 2019	1574391440	0	3002	3002	3002
Thu Nov 21 21:57:05 2019	1574391425	4	3000	3004	2995
Thu Nov 21 21:57:13 2019	1574391433	0	3048	3048	3048
Thu Nov 21 21:57:18 2019	1574391438	0	3054	3054	3053
Thu Nov 21 21:57:19 2019	1574391439	0	3056	3056	3055
Thu Nov 21 21:57:14 2019	1574391434	0	3066	3066	3066
Thu Nov 21 21:57:21 2019	1574391441	0	3096	3096	3096
Thu Nov 21 21:57:14 2019	1574391434	0	3125	3125	3125
Thu Nov 21 21:57:14 2019	1574391434	0	3131	3131	3131
Thu Nov 21 21:57:27 2019	1574391447	0	3148	3148	3148
Thu Nov 21 21:57:28 2019	1574391448	0	3189	3189	3189
Thu Nov 21 21:57:28 2019	1574391448	0	3214	3214	3214
Thu Nov 21 21:57:13 2019	1574391433	0	3220	3220	3220
Thu Nov 21 21:57:28 2019	1574391448	0	3228	3228	3225
Thu Nov 21 21:57:14 2019	1574391434	0	3244	3244	3244
Thu Nov 21 21:57:22 2019	1574391442	0	3256	3256	3256
Thu Nov 21 21:57:20 2019	1574391440	0	3265	3265	3264
Thu Nov 21 21:57:18 2019	1574391438	0	3271	3271	3271
Thu Nov 21 21:57:24 2019	1574391444	0	3279	3279	3279
Thu Nov 21 21:57:27 2019	1574391447	0	3289	3289	3289
Thu Nov 21 21:57:16 2019	1574391436	0	3300	3300	3300
Thu Nov 21 21:57:27 2019	1574391447	0	3312	3312	3312
Thu Nov 21 21:57:21 2019	1574391441	0	3326	3326	3326
Thu Nov 21 21:57:28 2019	1574391448	0	3353	3354	3353
Thu Nov 21 21:57:20 2019	1574391440	0	3369	3369	3369
Thu Nov 21 21:57:24 2019	1574391444	0	3370	3370	3370
Thu Nov 21 21:57:17 2019	1574391437	0	3374	3374	3374
Thu Nov 21 21:57:22 2019	1574391442	0	3384	3384	3383
Thu Nov 21 21:57:28 2019	1574391448	0	3398	3398	3398
Thu Nov 21 21:57:15 2019	1574391435	0	3400	3400	3400
